id,direction,time,data
14142,Rx,2025-10-30 15:27:42.213,01 03 03 00 02 00 01 24 28
14143,Tx,2025-10-30 15:27:42.589,01 03 03 02 00 04 C0 47
14144,Rx,2025-10-30 15:27:45.751,02 04 03 00 D0 00 01 85 A6
14145,Tx,2025-10-30 15:27:46.073,02 04 03 02 00 00 74 44
14146,Rx,2025-10-30 15:27:48.583,01 03 03 01 97 00 0A 74 3F
14147,Tx,2025-10-30 15:27:48.804,01 03 03 14 10 71 00 39 10 A6 00 41 0E 15 00 06 01 E7 08 F0 00 01 17 67 05 2E
14148,Rx,2025-10-30 15:27:50.941,02 04 03 01 FE 00 1E A5 9B
14149,Tx,2025-10-30 15:27:51.147,02 04 03 3C 15 91 0A 93 0A FF 01 2C 14 65 01 A4 01 B1 00 60 01 E3 08 F0 00 02 17 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 7D
14150,Rx,2025-10-30 15:27:54.698,01 03 03 00 02 00 01 24 28
14151,Tx,2025-10-30 15:27:55.171,01 03 03 02 00 04 C0 47
14152,Rx,2025-10-30 15:27:57.264,02 04 03 00 D0 00 01 85 A6
14153,Tx,2025-10-30 15:27:57.610,02 04 03 02 00 00 74 44
14154,Rx,2025-10-30 15:28:00.188,01 03 03 01 97 00 0A 74 3F
14155,Tx,2025-10-30 15:28:00.497,01 03 03 14 10 5E 00 3E 10 B5 00 3F 0E 27 00 10 01 EB 08 F5 00 01 17 67 83 A6
14156,Rx,2025-10-30 15:28:03.296,02 04 03 01 FE 00 1E A5 9B
14157,Tx,2025-10-30 15:28:03.549,02 04 03 3C 15 77 0A F8 0A 80 00 00 15 77 01 A9 01 B6 00 64 01 EB 08 F3 00 03 17 67 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1C DC
14158,Rx,2025-10-30 15:28:06.580,01 03 03 00 02 00 01 24 28
14159,Tx,2025-10-30 15:28:06.904,01 03 03 02 00 04 C0 47
14160,Rx,2025-10-30 15:28:09.657,02 04 03 00 D0 00 01 85 A6
14161,Tx,2025-10-30 15:28:09.936,02 04 03 02 00 00 74 44
14162,Rx,2025-10-30 15:28:12.715,01 03 03 01 97 00 0A 74 3F
14163,Tx,2025-10-30 15:28:13.030,01 03 03 14 10 92 00 42 10 9F 00 42 0E 1B 00 04 01 E8 08 F6 00 02 17 65 73 CD
14164,Rx,2025-10-30 15:28:15.278,02 04 03 01 FE 00 1E A5 9B
14165,Tx,2025-10-30 15:28:15.532,02 04 03 3C 14 F4 0A 99 0A 5B 02 9E 12 56 01 A4 01 93 00 69 01 E3 08 F0 00 01 17 67 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8C D8
14166,Rx,2025-10-30 15:28:18.048,01 03 03 00 02 00 01 24 28
14167,Tx,2025-10-30 15:28:18.383,01 03 03 02 00 04 C0 47
14168,Rx,2025-10-30 15:28:20.931,02 04 03 00 D0 00 01 85 A6
14169,Tx,2025-10-30 15:28:21.273,02 04 03 02 00 00 74 44
14170,Rx,2025-10-30 15:28:23.986,01 03 03 01 97 00 0A 74 3F
14171,Tx,2025-10-30 15:28:24.408,01 03 03 14 10 75 00 3E 10 CA 00 44 0E 0B 00 0C 01 E6 08 F7 00 03 17 65 BD 8E
14172,Rx,2025-10-30 15:28:27.083,02 04 03 01 FE 00 1E A5 9B
14173,Tx,2025-10-30 15:28:27.329,02 04 03 3C 15 89 0A 65 0B 24 02 31 13 58 01 A7 01 A4 00 6D 01 E8 08 F9 00 02 17 65 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C5 F3
14174,Rx,2025-10-30 15:28:30.683,01 03 03 00 02 00 01 24 28
14175,Tx,2025-10-30 15:28:31.170,01 03 03 02 00 04 C0 47
14176,Rx,2025-10-30 15:28:33.878,02 04 03 00 D0 00 01 85 A6
14177,Tx,2025-10-30 15:28:34.092,02 04 03 02 00 00 74 44
14178,Rx,2025-10-30 15:28:36.055,01 03 03 01 97 00 0A 74 3F
14179,Tx,2025-10-30 15:28:36.358,01 03 03 14 10 72 00 42 10 C6 00 44 0E 22 00 0C 01 F1 08 F2 00 00 17 66 7A 7B
