id,direction,time,data
54123,Rx,2025-10-30 15:27:41.947,01 0E 3A 00 02 02 BB 01 11
54124,Tx,2025-10-30 15:27:42.401,01 55 00 00 00 00 00 00 00
54125,Rx,2025-10-30 15:27:45.078,02 0E 4C 00 16 02 B8 01 10
54126,Tx,2025-10-30 15:27:45.541,02 55 00 00 00 00 00 00 00
54127,Rx,2025-10-30 15:27:48.402,01 0E 3F 00 14 02 BD 01 0F
54128,Tx,2025-10-30 15:27:48.710,01 55 00 00 00 00 00 00 00
54129,Rx,2025-10-30 15:27:51.678,02 0E 4E 00 0D 02 C2 01 13
54130,Tx,2025-10-30 15:27:52.134,02 55 00 00 00 00 00 00 00
54131,Rx,2025-10-30 15:27:54.040,01 0E 51 00 1C 02 C3 01 10
54132,Tx,2025-10-30 15:27:54.323,01 55 00 00 00 00 00 00 00
54133,Rx,2025-10-30 15:27:57.800,02 0E 55 00 1A 02 C0 01 0F
54134,Tx,2025-10-30 15:27:58.108,02 55 00 00 00 00 00 00 00
54135,Rx,2025-10-30 15:28:00.096,01 0E 4D 00 1D 02 BE 01 16
54136,Tx,2025-10-30 15:28:00.383,01 55 00 00 00 00 00 00 00
54137,Rx,2025-10-30 15:28:02.902,02 0E 52 00 2C 02 BC 01 12
54138,Tx,2025-10-30 15:28:03.313,02 55 00 00 00 00 00 00 00
54139,Rx,2025-10-30 15:28:06.641,01 0E 59 00 1D 02 C2 01 14
54140,Tx,2025-10-30 15:28:06.899,01 55 00 00 00 00 00 00 00
54141,Rx,2025-10-30 15:28:09.492,02 0E 55 00 31 02 BE 01 16
54142,Tx,2025-10-30 15:28:09.842,02 55 00 00 00 00 00 00 00
54143,Rx,2025-10-30 15:28:12.107,01 0E 57 00 13 02 C6 01 17
54144,Tx,2025-10-30 15:28:12.504,01 55 00 00 00 00 00 00 00
54145,Rx,2025-10-30 15:28:15.755,02 0E 6B 00 2D 02 C5 01 13
54146,Tx,2025-10-30 15:28:15.988,02 55 00 00 00 00 00 00 00
54147,Rx,2025-10-30 15:28:18.069,01 0E 68 00 36 02 C8 01 14
54148,Tx,2025-10-30 15:28:18.457,01 55 00 00 00 00 00 00 00
54149,Rx,2025-10-30 15:28:21.725,02 0E 70 00 44 02 C5 01 13
54150,Tx,2025-10-30 15:28:22.057,02 55 00 00 00 00 00 00 00
54151,Rx,2025-10-30 15:28:24.314,01 0E 73 00 35 02 CA 01 1B
54152,Tx,2025-10-30 15:28:24.581,01 55 00 00 00 00 00 00 00
54153,Rx,2025-10-30 15:28:27.758,02 0E 72 00 42 02 C9 01 18
54154,Tx,2025-10-30 15:28:28.226,02 55 00 00 00 00 00 00 00
54155,Rx,2025-10-30 15:28:30.697,01 0E 67 00 46 02 C7 01 18
54156,Tx,2025-10-30 15:28:31.001,01 55 00 00 00 00 00 00 00
54157,Rx,2025-10-30 15:28:33.507,02 0E 70 00 35 02 C4 01 1D
54158,Tx,2025-10-30 15:28:33.989,02 55 00 00 00 00 00 00 00
54159,Rx,2025-10-30 15:28:36.327,01 0E 6C 00 50 02 C4 01 1A
54160,Tx,2025-10-30 15:28:36.640,01 55 00 00 00 00 00 00 00
54161,Rx,2025-10-30 15:28:39.247,02 0E 74 00 57 02 C8 01 18
54162,Tx,2025-10-30 15:28:39.577,02 55 00 00 00 00 00 00 00
54163,Rx,2025-10-30 15:28:42.143,01 0E 73 00 4E 02 CD 01 1E
54164,Tx,2025-10-30 15:28:42.371,01 55 00 00 00 00 00 00 00
54165,Rx,2025-10-30 15:28:45.237,02 0E 85 00 53 02 CD 01 20
54166,Tx,2025-10-30 15:28:45.555,02 55 00 00 00 00 00 00 00
54167,Rx,2025-10-30 15:28:48.619,01 0E 85 00 55 02 CA 01 20
54168,Tx,2025-10-30 15:28:48.827,01 55 00 00 00 00 00 00 00
54169,Rx,2025-10-30 15:28:51.363,02 0E 7B 00 50 02 CE 01 1C
54170,Tx,2025-10-30 15:28:51.605,02 55 00 00 00 00 00 00 00
54171,Rx,2025-10-30 15:28:54.623,01 0E 80 00 67 02 CF 01 1C
54172,Tx,2025-10-30 15:28:55.035,01 55 00 00 00 00 00 00 00
54173,Rx,2025-10-30 15:28:57.577,02 0E 8F 00 6F 02 CB 01 1F
54174,Tx,2025-10-30 15:28:57.803,02 55 00 00 00 00 00 00 00
54175,Rx,2025-10-30 15:29:00.543,01 0E 81 00 59 02 CD 01 20
54176,Tx,2025-10-30 15:29:00.854,01 55 00 00 00 00 00 00 00
54177,Rx,2025-10-30 15:29:03.833,02 0E 87 00 54 02 C8 01 1F
54178,Tx,2025-10-30 15:29:04.091,02 55 00 00 00 00 00 00 00
54179,Rx,2025-10-30 15:29:06.880,01 0E 99 00 6D 02 CF 01 20
54180,Tx,2025-10-30 15:29:07.362,01 55 00 00 00 00 00 00 00
54181,Rx,2025-10-30 15:29:09.216,02 0E 8B 00 59 02 CF 01 1E
54182,Tx,2025-10-30 15:29:09.483,02 55 00 00 00 00 00 00 00
54183,Rx,2025-10-30 15:29:12.640,01 0E 97 00 5B 02 D0 01 25
54184,Tx,2025-10-30 15:29:13.004,01 55 00 00 00 00 00 00 00
54185,Rx,2025-10-30 15:29:15.825,02 0E 91 00 7C 02 D2 01 24
54186,Tx,2025-10-30 15:29:16.317,02 55 00 00 00 00 00 00 00
54187,Rx,2025-10-30 15:29:18.374,01 0E 9C 00 7A 02 D4 01 24
54188,Tx,2025-10-30 15:29:18.687,01 55 00 00 00 00 00 00 00
54189,Rx,2025-10-30 15:29:21.309,02 0E 98 00 78 02 CD 01 22
54190,Tx,2025-10-30 15:29:21.657,02 55 00 00 00 00 00 00 00
54191,Rx,2025-10-30 15:29:24.280,01 0E A4 00 88 02 CE 01 25
54192,Tx,2025-10-30 15:29:24.541,01 55 00 00 00 00 00 00 00
54193,Rx,2025-10-30 15:29:27.605,02 0E A9 00 80 02 D0 01 26
54194,Tx,2025-10-30 15:29:27.962,02 55 00 00 00 00 00 00 00
54195,Rx,2025-10-30 15:29:30.265,01 0E A6 00 84 02 D6 01 28
54196,Tx,2025-10-30 15:29:30.472,01 55 00 00 00 00 00 00 00
54197,Rx,2025-10-30 15:29:33.335,02 0E A6 00 7C 02 D5 01 29
54198,Tx,2025-10-30 15:29:33.612,02 55 00 00 00 00 00 00 00
54199,Rx,2025-10-30 15:29:35.949,01 0E AC 00 80 02 D4 01 25
54200,Tx,2025-10-30 15:29:36.431,01 55 00 00 00 00 00 00 00
54201,Rx,2025-10-30 15:29:39.357,02 0E AE 00 7E 02 D5 01 2B
54202,Tx,2025-10-30 15:29:39.619,02 55 00 00 00 00 00 00 00
54203,Rx,2025-10-30 15:29:42.324,01 0E AA 00 A3 02 D6 01 26
54204,Tx,2025-10-30 15:29:42.769,01 55 00 00 00 00 00 00 00
54205,Rx,2025-10-30 15:29:45.682,02 0E B2 00 8E 02 D9 01 29
54206,Tx,2025-10-30 15:29:46.000,02 55 00 00 00 00 00 00 00
54207,Rx,2025-10-30 15:29:48.626,01 0E B4 00 98 02 D3 01 2D
54208,Tx,2025-10-30 15:29:48.967,01 55 00 00 00 00 00 00 00
54209,Rx,2025-10-30 15:29:51.509,02 0E BB 00 94 02 D4 01 2A
54210,Tx,2025-10-30 15:29:51.750,02 55 00 00 00 00 00 00 00
54211,Rx,2025-10-30 15:29:54.610,01 0E C4 00 A9 02 D3 01 29
54212,Tx,2025-10-30 15:29:54.964,01 55 00 00 00 00 00 00 00
54213,Rx,2025-10-30 15:29:57.548,02 0E BE 00 97 02 D6 01 2B
54214,Tx,2025-10-30 15:29:57.884,02 55 00 00 00 00 00 00 00
54215,Rx,2025-10-30 15:30:00.426,01 0E BB 00 8F 02 D8 01 2B
54216,Tx,2025-10-30 15:30:00.774,01 55 00 00 00 00 00 00 00
54217,Rx,2025-10-30 15:30:03.130,02 0E C9 00 AC 02 DA 01 2E
54218,Tx,2025-10-30 15:30:03.616,02 55 00 00 00 00 00 00 00
54219,Rx,2025-10-30 15:30:06.569,01 0E CC 00 A1 02 D9 01 30
54220,Tx,2025-10-30 15:30:06.821,01 55 00 00 00 00 00 00 00
54221,Rx,2025-10-30 15:30:09.168,02 0E C3 00 B7 02 DC 01 31
54222,Tx,2025-10-30 15:30:09.590,02 55 00 00 00 00 00 00 00
