id,direction,time,data
87514,Rx,2025-10-30 15:27:41.920,02 02 04 00 00 00 03 B0 38
87515,Tx,2025-10-30 15:27:42.413,02 02 04 06 01 BE 01 A7 00 82 6D D7
87516,Rx,2025-10-30 15:27:45.014,01 02 04 00 00 00 03 B0 38
87517,Tx,2025-10-30 15:27:45.487,01 02 04 06 01 94 01 82 00 88 E5 DD
87518,Rx,2025-10-30 15:27:48.023,02 02 04 00 00 00 03 B0 38
87519,Tx,2025-10-30 15:27:48.255,02 02 04 06 01 C2 01 AB 00 7E FC 5F
87520,Rx,2025-10-30 15:27:51.525,01 02 04 00 00 00 03 B0 38
87521,Tx,2025-10-30 15:27:51.782,01 02 04 06 01 AC 01 91 00 84 B5 D8
87522,Rx,2025-10-30 15:27:54.707,02 02 04 00 00 00 03 B0 38
87523,Tx,2025-10-30 15:27:55.108,02 02 04 06 01 A4 01 93 00 7E 75 9A
87524,Rx,2025-10-30 15:27:57.362,01 02 04 00 00 00 03 B0 38
87525,Tx,2025-10-30 15:27:57.680,01 02 04 06 01 B0 01 A0 00 80 34 16
87526,Rx,2025-10-30 15:28:00.765,02 02 04 00 00 00 03 B0 38
87527,Tx,2025-10-30 15:28:01.143,02 02 04 06 01 B1 01 A3 00 8B B8 11
87528,Rx,2025-10-30 15:28:02.974,01 02 04 00 00 00 03 B0 38
87529,Tx,2025-10-30 15:28:03.206,01 02 04 06 01 C6 01 B2 00 83 1D D9
87530,Rx,2025-10-30 15:28:06.344,02 02 04 00 00 00 03 B0 38
87531,Tx,2025-10-30 15:28:06.594,02 02 04 06 01 B7 01 A8 00 84 01 D7
87532,Rx,2025-10-30 15:28:09.092,01 02 04 00 00 00 03 B0 38
87533,Tx,2025-10-30 15:28:09.340,01 02 04 06 01 CE 01 BC 00 87 9C 18
87534,Rx,2025-10-30 15:28:12.858,02 02 04 00 00 00 03 B0 38
87535,Tx,2025-10-30 15:28:13.329,02 02 04 06 01 C2 01 A9 00 82 5D DE
87536,Rx,2025-10-30 15:28:14.951,01 02 04 00 00 00 03 B0 38
87537,Tx,2025-10-30 15:28:15.319,01 02 04 06 01 C5 01 AB 00 8B 89 D8
87538,Rx,2025-10-30 15:28:18.423,02 02 04 00 00 00 03 B0 38
87539,Tx,2025-10-30 15:28:18.913,02 02 04 06 01 C6 01 B2 00 83 1D D9
87540,Rx,2025-10-30 15:28:21.235,01 02 04 00 00 00 03 B0 38
87541,Tx,2025-10-30 15:28:21.512,01 02 04 06 01 BB 01 A0 00 85 51 D4
87542,Rx,2025-10-30 15:28:24.783,02 02 04 00 00 00 03 B0 38
87543,Tx,2025-10-30 15:28:25.267,02 02 04 06 01 CB 01 BC 00 88 10 1C
87544,Rx,2025-10-30 15:28:27.591,01 02 04 00 00 00 03 B0 38
87545,Tx,2025-10-30 15:28:28.030,01 02 04 06 01 BB 01 A0 00 8A 11 D0
87546,Rx,2025-10-30 15:28:30.282,02 02 04 00 00 00 03 B0 38
87547,Tx,2025-10-30 15:28:30.666,02 02 04 06 01 BB 01 A5 00 90 80 1A
87548,Rx,2025-10-30 15:28:33.833,01 02 04 00 00 00 03 B0 38
87549,Tx,2025-10-30 15:28:34.262,01 02 04 06 01 D1 01 B6 00 8D A9 DF
87550,Rx,2025-10-30 15:28:36.673,02 02 04 00 00 00 03 B0 38
87551,Tx,2025-10-30 15:28:36.903,02 02 04 06 01 EC 01 CE 00 8F C5 C2
87552,Rx,2025-10-30 15:28:39.353,01 02 04 00 00 00 03 B0 38
87553,Tx,2025-10-30 15:28:39.672,01 02 04 06 01 BA 01 AA 00 8A 0C 12
87554,Rx,2025-10-30 15:28:42.542,02 02 04 00 00 00 03 B0 38
87555,Tx,2025-10-30 15:28:42.985,02 02 04 06 01 DD 01 CC 00 91 99 CE
