id,direction,time,data
87451,Rx,2025-10-30 15:27:42.102,01 0E 3A 00 02 02 BB 01 11
87452,Tx,2025-10-30 15:27:42.324,01 55 00 00 00 00 00 00 00
87453,Rx,2025-10-30 15:27:45.680,02 0E 4C 00 16 02 B8 01 10
87454,Tx,2025-10-30 15:27:46.023,02 55 00 00 00 00 00 00 00
87455,Rx,2025-10-30 15:27:47.935,01 0E 3F 00 14 02 BD 01 0F
87456,Tx,2025-10-30 15:27:48.280,01 55 00 00 00 00 00 00 00
87457,Rx,2025-10-30 15:27:51.211,02 0E 4E 00 0D 02 C2 01 13
87458,Tx,2025-10-30 15:27:51.649,02 55 00 00 00 00 00 00 00
87459,Rx,2025-10-30 15:27:54.346,01 0E 51 00 1C 02 C3 01 10
87460,Tx,2025-10-30 15:27:54.648,01 55 00 00 00 00 00 00 00
87461,Rx,2025-10-30 15:27:57.198,02 0E 55 00 1A 02 C0 01 0F
87462,Tx,2025-10-30 15:27:57.679,02 55 00 00 00 00 00 00 00
87463,Rx,2025-10-30 15:28:00.613,01 0E 4D 00 1D 02 BE 01 16
87464,Tx,2025-10-30 15:28:01.089,01 55 00 00 00 00 00 00 00
87465,Rx,2025-10-30 15:28:03.034,02 0E 52 00 2C 02 BC 01 12
87466,Tx,2025-10-30 15:28:03.486,02 55 00 00 00 00 00 00 00
87467,Rx,2025-10-30 15:28:06.414,01 0E 59 00 1D 02 C2 01 14
87468,Tx,2025-10-30 15:28:06.837,01 55 00 00 00 00 00 00 00
87469,Rx,2025-10-30 15:28:09.753,02 0E 55 00 31 02 BE 01 16
87470,Tx,2025-10-30 15:28:10.121,02 55 00 00 00 00 00 00 00
87471,Rx,2025-10-30 15:28:12.654,01 0E 57 00 13 02 C6 01 17
87472,Tx,2025-10-30 15:28:12.981,01 55 00 00 00 00 00 00 00
87473,Rx,2025-10-30 15:28:15.437,02 0E 6B 00 2D 02 C5 01 13
87474,Tx,2025-10-30 15:28:15.779,02 55 00 00 00 00 00 00 00
87475,Rx,2025-10-30 15:28:18.085,01 0E 68 00 36 02 C8 01 14
87476,Tx,2025-10-30 15:28:18.310,01 55 00 00 00 00 00 00 00
87477,Rx,2025-10-30 15:28:21.065,02 0E 70 00 44 02 C5 01 13
87478,Tx,2025-10-30 15:28:21.475,02 55 00 00 00 00 00 00 00
87479,Rx,2025-10-30 15:28:24.575,01 0E 73 00 35 02 CA 01 1B
87480,Tx,2025-10-30 15:28:24.823,01 55 00 00 00 00 00 00 00
87481,Rx,2025-10-30 15:28:27.304,02 0E 72 00 42 02 C9 01 18
87482,Tx,2025-10-30 15:28:27.767,02 55 00 00 00 00 00 00 00
87483,Rx,2025-10-30 15:28:30.699,01 0E 67 00 46 02 C7 01 18
87484,Tx,2025-10-30 15:28:30.916,01 55 00 00 00 00 00 00 00
87485,Rx,2025-10-30 15:28:33.784,02 0E 70 00 35 02 C4 01 1D
87486,Tx,2025-10-30 15:28:34.248,02 55 00 00 00 00 00 00 00
87487,Rx,2025-10-30 15:28:36.350,01 0E 6C 00 50 02 C4 01 1A
87488,Tx,2025-10-30 15:28:36.738,01 55 00 00 00 00 00 00 00
87489,Rx,2025-10-30 15:28:39.792,02 0E 74 00 57 02 C8 01 18
87490,Tx,2025-10-30 15:28:40.034,02 55 00 00 00 00 00 00 00
87491,Rx,2025-10-30 15:28:42.049,01 0E 73 00 4E 02 CD 01 1E
87492,Tx,2025-10-30 15:28:42.306,01 55 00 00 00 00 00 00 00
87493,Rx,2025-10-30 15:28:45.566,02 0E 85 00 53 02 CD 01 20
87494,Tx,2025-10-30 15:28:45.928,02 55 00 00 00 00 00 00 00
87495,Rx,2025-10-30 15:28:48.724,01 0E 85 00 55 02 CA 01 20
87496,Tx,2025-10-30 15:28:49.035,01 55 00 00 00 00 00 00 00
87497,Rx,2025-10-30 15:28:51.016,02 0E 7B 00 50 02 CE 01 1C
87498,Tx,2025-10-30 15:28:51.421,02 55 00 00 00 00 00 00 00
87499,Rx,2025-10-30 15:28:54.524,01 0E 80 00 67 02 CF 01 1C
87500,Tx,2025-10-30 15:28:54.740,01 55 00 00 00 00 00 00 00
87501,Rx,2025-10-30 15:28:57.452,02 0E 8F 00 6F 02 CB 01 1F
87502,Tx,2025-10-30 15:28:57.715,02 55 00 00 00 00 00 00 00
87503,Rx,2025-10-30 15:29:00.087,01 0E 81 00 59 02 CD 01 20
87504,Tx,2025-10-30 15:29:00.515,01 55 00 00 00 00 00 00 00
87505,Rx,2025-10-30 15:29:03.151,02 0E 87 00 54 02 C8 01 1F
87506,Tx,2025-10-30 15:29:03.579,02 55 00 00 00 00 00 00 00
87507,Rx,2025-10-30 15:29:05.902,01 0E 99 00 6D 02 CF 01 20
