id,direction,time,data
54123,Rx,2025-10-30 15:27:42.757,02 02 04 00 00 00 03 B0 38
54124,Tx,2025-10-30 15:27:42.214,02 02 04 06 01 BE 01 A7 00 82 6D D7
54125,Rx,2025-10-30 15:27:45.540,01 02 04 00 00 00 03 B0 38
54126,Tx,2025-10-30 15:27:45.225,01 02 04 06 01 94 01 82 00 88 E5 DD
54127,Rx,2025-10-30 15:27:48.663,02 02 04 00 00 00 03 B0 38
54128,Tx,2025-10-30 15:27:48.328,02 02 04 06 01 C2 01 AB 00 7E FC 5F
54129,Rx,2025-10-30 15:27:51.219,01 02 04 00 00 00 03 B0 38
54130,Tx,2025-10-30 15:27:51.102,01 02 04 06 01 AC 01 91 00 84 B5 D8
54131,Rx,2025-10-30 15:27:54.633,02 02 04 00 00 00 03 B0 38
54132,Tx,2025-10-30 15:27:54.223,02 02 04 06 01 A4 01 93 00 7E 75 9A
54133,Rx,2025-10-30 15:27:57.109,01 02 04 00 00 00 03 B0 38
54134,Tx,2025-10-30 15:27:57.273,01 02 04 06 01 B0 01 A0 00 80 34 16
54135,Rx,2025-10-30 15:28:00.798,02 02 04 00 00 00 03 B0 38
54136,Tx,2025-10-30 15:28:00.248,02 02 04 06 01 B1 01 A3 00 8B B8 11
54137,Rx,2025-10-30 15:28:03.562,01 02 04 00 00 00 03 B0 38
54138,Tx,2025-10-30 15:28:03.303,01 02 04 06 01 C6 01 B2 00 83 1D D9
54139,Rx,2025-10-30 15:28:05.987,02 02 04 00 00 00 03 B0 38
54140,Tx,2025-10-30 15:28:06.212,02 02 04 06 01 B7 01 A8 00 84 01 D7
54141,Rx,2025-10-30 15:28:09.611,01 02 04 00 00 00 03 B0 38
54142,Tx,2025-10-30 15:28:09.213,01 02 04 06 01 CE 01 BC 00 87 9C 18
54143,Rx,2025-10-30 15:28:12.670,02 02 04 00 00 00 03 B0 38
54144,Tx,2025-10-30 15:28:12.179,02 02 04 06 01 C2 01 A9 00 82 5D DE
54145,Rx,2025-10-30 15:28:15.068,01 02 04 00 00 00 03 B0 38
54146,Tx,2025-10-30 15:28:15.217,01 02 04 06 01 C5 01 AB 00 8B 89 D8
54147,Rx,2025-10-30 15:28:18.200,02 02 04 00 00 00 03 B0 38
54148,Tx,2025-10-30 15:28:18.200,02 02 04 06 01 C6 01 B2 00 83 1D D9
54149,Rx,2025-10-30 15:28:20.981,01 02 04 00 00 00 03 B0 38
54150,Tx,2025-10-30 15:28:21.352,01 02 04 06 01 BB 01 A0 00 85 51 D4
54151,Rx,2025-10-30 15:28:24.156,02 02 04 00 00 00 03 B0 38
54152,Tx,2025-10-30 15:28:24.190,02 02 04 06 01 CB 01 BC 00 88 10 1C
54153,Rx,2025-10-30 15:28:27.119,01 02 04 00 00 00 03 B0 38
54154,Tx,2025-10-30 15:28:27.123,01 02 04 06 01 BB 01 A0 00 8A 11 D0
54155,Rx,2025-10-30 15:28:30.586,02 02 04 00 00 00 03 B0 38
54156,Tx,2025-10-30 15:28:30.199,02 02 04 06 01 BB 01 A5 00 90 80 1A
54157,Rx,2025-10-30 15:28:33.802,01 02 04 00 00 00 03 B0 38
54158,Tx,2025-10-30 15:28:33.312,01 02 04 06 01 D1 01 B6 00 8D A9 DF
54159,Rx,2025-10-30 15:28:36.832,02 02 04 00 00 00 03 B0 38
54160,Tx,2025-10-30 15:28:36.387,02 02 04 06 01 EC 01 CE 00 8F C5 C2
54161,Rx,2025-10-30 15:28:39.516,01 02 04 00 00 00 03 B0 38
54162,Tx,2025-10-30 15:28:39.149,01 02 04 06 01 BA 01 AA 00 8A 0C 12
54163,Rx,2025-10-30 15:28:42.502,02 02 04 00 00 00 03 B0 38
54164,Tx,2025-10-30 15:28:42.284,02 02 04 06 01 DD 01 CC 00 91 99 CE
54165,Rx,2025-10-30 15:28:45.334,01 02 04 00 00 00 03 B0 38
54166,Tx,2025-10-30 15:28:45.268,01 02 04 06 01 E1 01 CB 00 86 38 04
54167,Rx,2025-10-30 15:28:48.787,02 02 04 00 00 00 03 B0 38
54168,Tx,2025-10-30 15:28:48.344,02 02 04 06 01 E6 01 D5 00 88 6C 06
54169,Rx,2025-10-30 15:28:51.652,01 02 04 00 00 00 03 B0 38
54170,Tx,2025-10-30 15:28:51.271,01 02 04 06 01 F5 01 D3 00 93 49 CF
54171,Rx,2025-10-30 15:28:53.975,02 02 04 00 00 00 03 B0 38
54172,Tx,2025-10-30 15:28:54.212,02 02 04 06 01 E3 01 CA 00 88 91 C0
54173,Rx,2025-10-30 15:28:57.008,01 02 04 00 00 00 03 B0 38
54174,Tx,2025-10-30 15:28:57.308,01 02 04 06 01 D8 01 B9 00 87 C5 DA
54175,Rx,2025-10-30 15:29:00.602,02 02 04 00 00 00 03 B0 38
54176,Tx,2025-10-30 15:29:00.320,02 02 04 06 01 D2 01 C0 00 8C CD C5
54177,Rx,2025-10-30 15:29:03.724,01 02 04 00 00 00 03 B0 38
