id,direction,time,data
54223,Rx,2025-10-30 15:30:12.299,01 0E D2 00 AF 02 DC 01 30
54224,Tx,2025-10-30 15:30:12.611,01 55 00 00 00 00 00 00 00
54225,Rx,2025-10-30 15:30:15.178,02 0E D1 00 C1 02 D8 01 2F
54226,Tx,2025-10-30 15:30:15.530,02 55 00 00 00 00 00 00 00
54227,Rx,2025-10-30 15:30:18.565,01 0E D4 00 BC 02 DE 01 36
54228,Tx,2025-10-30 15:30:19.018,01 55 00 00 00 00 00 00 00
54229,Rx,2025-10-30 15:30:20.989,02 0E CF 00 AE 02 DA 01 36
54230,Tx,2025-10-30 15:30:21.299,02 55 00 00 00 00 00 00 00
54231,Rx,2025-10-30 15:30:24.579,01 0E DD 00 C7 02 DA 01 37
54232,Tx,2025-10-30 15:30:24.854,01 55 00 00 00 00 00 00 00
54233,Rx,2025-10-30 15:30:27.665,02 0E D3 00 D1 02 E1 01 35
54234,Tx,2025-10-30 15:30:28.102,02 55 00 00 00 00 00 00 00
54235,Rx,2025-10-30 15:30:30.601,01 0E DC 00 CE 02 E2 01 33
54236,Tx,2025-10-30 15:30:30.805,01 55 00 00 00 00 00 00 00
54237,Rx,2025-10-30 15:30:33.266,02 0E E7 00 C6 02 DC 01 34
54238,Tx,2025-10-30 15:30:33.680,02 55 00 00 00 00 00 00 00
54239,Rx,2025-10-30 15:30:35.932,01 0E DB 00 D9 02 DE 01 36
54240,Tx,2025-10-30 15:30:36.427,01 55 00 00 00 00 00 00 00
54241,Rx,2025-10-30 15:30:39.383,02 0E E6 00 C2 02 E3 01 39
54242,Tx,2025-10-30 15:30:39.642,02 55 00 00 00 00 00 00 00
54243,Rx,2025-10-30 15:30:42.479,01 0E E7 00 DD 02 E6 01 3B
54244,Tx,2025-10-30 15:30:42.972,01 55 00 00 00 00 00 00 00
54245,Rx,2025-10-30 15:30:45.444,02 0E E5 00 E1 02 E3 01 3A
54246,Tx,2025-10-30 15:30:45.937,02 55 00 00 00 00 00 00 00
54247,Rx,2025-10-30 15:30:48.799,01 0E F5 00 D1 02 E8 01 37
54248,Tx,2025-10-30 15:30:49.215,01 55 00 00 00 00 00 00 00
54249,Rx,2025-10-30 15:30:50.980,02 0E ED 00 C5 02 E1 01 3C
54250,Tx,2025-10-30 15:30:51.477,02 55 00 00 00 00 00 00 00
54251,Rx,2025-10-30 15:30:54.474,01 0E F6 00 C4 02 E5 01 3E
54252,Tx,2025-10-30 15:30:54.760,01 55 00 00 00 00 00 00 00
54253,Rx,2025-10-30 15:30:57.508,02 0E F7 00 DF 02 E2 01 3A
54254,Tx,2025-10-30 15:30:57.915,02 55 00 00 00 00 00 00 00
54255,Rx,2025-10-30 15:31:00.709,01 0E FB 00 D3 02 E6 01 39
54256,Tx,2025-10-30 15:31:01.125,01 55 00 00 00 00 00 00 00
54257,Rx,2025-10-30 15:31:03.132,02 0F 03 00 EA 02 E7 01 3D
54258,Tx,2025-10-30 15:31:03.504,02 55 00 00 00 00 00 00 00
54259,Rx,2025-10-30 15:31:06.431,01 0F 01 00 E9 02 E8 01 3E
54260,Tx,2025-10-30 15:31:06.744,01 55 00 00 00 00 00 00 00
54261,Rx,2025-10-30 15:31:08.922,02 0F 04 00 E1 02 E5 01 3C
54262,Tx,2025-10-30 15:31:09.277,02 55 00 00 00 00 00 00 00
54263,Rx,2025-10-30 15:31:12.618,01 0F 02 00 E5 02 EB 01 3F
54264,Tx,2025-10-30 15:31:13.017,01 55 00 00 00 00 00 00 00
54265,Rx,2025-10-30 15:31:14.968,02 0F 0B 00 D5 02 EA 01 3F
54266,Tx,2025-10-30 15:31:15.430,02 55 00 00 00 00 00 00 00
54267,Rx,2025-10-30 15:31:18.585,01 0F 0B 00 F0 02 EA 01 43
54268,Tx,2025-10-30 15:31:18.816,01 55 00 00 00 00 00 00 00
54269,Rx,2025-10-30 15:31:21.781,02 0F 08 00 DB 02 E5 01 40
54270,Tx,2025-10-30 15:31:22.135,02 55 00 00 00 00 00 00 00
54271,Rx,2025-10-30 15:31:24.345,01 0F 0D 00 E7 02 E8 01 41
