id,direction,time,data
87714,Rx,2025-10-30 15:32:42.556,02 02 04 00 00 00 03 B0 38
87715,Tx,2025-10-30 15:32:42.989,02 02 04 06 02 9F 02 6E 00 B5 40 4F
87716,Rx,2025-10-30 15:32:45.605,01 02 04 00 00 00 03 B0 38
87717,Tx,2025-10-30 15:32:45.900,01 02 04 06 02 98 02 67 00 BE 64 4A
87718,Rx,2025-10-30 15:32:48.646,02 02 04 00 00 00 03 B0 38
87719,Tx,2025-10-30 15:32:48.893,02 02 04 06 02 B1 02 82 00 BA 29 B8
87720,Rx,2025-10-30 15:32:51.540,01 02 04 00 00 00 03 B0 38
87721,Tx,2025-10-30 15:32:51.931,01 02 04 06 02 A8 02 82 00 BE 35 B9
87722,Rx,2025-10-30 15:32:54.279,02 02 04 00 00 00 03 B0 38
87723,Tx,2025-10-30 15:32:54.538,02 02 04 06 02 A8 02 6F 00 B3 64 49
87724,Rx,2025-10-30 15:32:57.473,01 02 04 00 00 00 03 B0 38
87725,Tx,2025-10-30 15:32:57.812,01 02 04 06 02 A2 02 7B 00 BB BD 8A
87726,Rx,2025-10-30 15:33:00.773,02 02 04 00 00 00 03 B0 38
87727,Tx,2025-10-30 15:33:01.225,02 02 04 06 02 99 02 72 00 C0 C8 6E
87728,Rx,2025-10-30 15:33:02.946,01 02 04 00 00 00 03 B0 38
87729,Tx,2025-10-30 15:33:03.180,01 02 04 06 02 A3 02 7D 00 B9 E1 8A
87730,Rx,2025-10-30 15:33:06.835,02 02 04 00 00 00 03 B0 38
87731,Tx,2025-10-30 15:33:07.297,02 02 04 06 02 A3 02 7A 00 C4 90 6A
87732,Rx,2025-10-30 15:33:09.743,01 02 04 00 00 00 03 B0 38
87733,Tx,2025-10-30 15:33:10.109,01 02 04 06 02 AA 02 75 00 B7 3D 8D
87734,Rx,2025-10-30 15:33:12.002,02 02 04 00 00 00 03 B0 38
87735,Tx,2025-10-30 15:33:12.470,02 02 04 06 02 A6 02 7D 00 BD 2C 49
87736,Rx,2025-10-30 15:33:15.420,01 02 04 00 00 00 03 B0 38
87737,Tx,2025-10-30 15:33:15.793,01 02 04 06 02 C1 02 99 00 BF D8 77
87738,Rx,2025-10-30 15:33:18.002,02 02 04 00 00 00 03 B0 38
87739,Tx,2025-10-30 15:33:18.492,02 02 04 06 02 A0 02 7C 00 C4 34 6B
87740,Rx,2025-10-30 15:33:21.573,01 02 04 00 00 00 03 B0 38
87741,Tx,2025-10-30 15:33:21.900,01 02 04 06 02 B2 02 7D 00 BE 5C 4B
87742,Rx,2025-10-30 15:33:24.484,02 02 04 00 00 00 03 B0 38
87743,Tx,2025-10-30 15:33:24.768,02 02 04 06 02 D4 02 99 00 BE 14 74
87744,Rx,2025-10-30 15:33:27.366,01 02 04 00 00 00 03 B0 38
87745,Tx,2025-10-30 15:33:27.832,01 02 04 06 02 B4 02 8D 00 C0 54 58
87746,Rx,2025-10-30 15:33:30.744,02 02 04 00 00 00 03 B0 38
87747,Tx,2025-10-30 15:33:31.106,02 02 04 06 02 D5 02 AE 00 CA 98 5D
87748,Rx,2025-10-30 15:33:33.410,01 02 04 00 00 00 03 B0 38
87749,Tx,2025-10-30 15:33:33.723,01 02 04 06 02 BE 02 96 00 C8 BD 98
87750,Rx,2025-10-30 15:33:36.845,02 02 04 00 00 00 03 B0 38
87751,Tx,2025-10-30 15:33:37.288,02 02 04 06 02 DE 02 A7 00 C2 EC 58
